client_id,channel,spend,roi,clicks
3,Instagram,641.43,3.32,976
4,Facebook,3363.85,1.48,9283
1,Facebook,1914.6,1.73,7127
3,Email,2788.57,4.17,4242
3,Facebook,4584.05,3.2,7066
4,Facebook,1621.82,1.23,7179
1,Facebook,2346.72,1.53,8087
1,Email,3899.98,3.39,6899
3,Facebook,1529.59,1.22,4565
2,Instagram,846.41,1.73,735
3,Email,1803.88,3.01,1793
3,Instagram,1225.5,3.48,9974
3,Email,4683.64,3.35,4852
3,Facebook,4136.54,1.94,8411
4,Instagram,3350.32,3.55,930
1,Email,4421.57,1.98,5277
4,Google Ads,4116.52,2.27,9661
4,Facebook,1339.57,3.66,9032
4,Email,4516.52,3.34,8408
3,Google Ads,2927.04,4.0,6049
2,Email,4133.48,3.37,2938
1,Google Ads,4532.41,3.08,1250
2,Facebook,1931.02,1.51,7660
4,Instagram,995.23,2.41,2031
4,Google Ads,1525.71,2.08,9304
2,Email,2421.99,2.01,1764
2,Facebook,4181.07,4.41,1181
2,Google Ads,4373.29,2.5,612
4,Email,531.28,4.14,7905
4,Email,2798.36,3.28,5337
1,Email,2378.35,3.82,659
1,Google Ads,1499.49,2.86,3772
4,Google Ads,1039.39,3.1,7504
2,Google Ads,2019.27,2.83,3443
2,Instagram,4743.09,1.84,4170
1,Google Ads,1954.41,3.58,9762
4,Google Ads,2834.56,2.13,680
1,Google Ads,3663.59,1.28,7104
1,Instagram,2136.33,3.33,8230
3,Google Ads,4873.02,1.78,3247
3,Email,4831.01,4.3,4349
3,Google Ads,1633.02,4.35,1779
2,Email,2737.62,4.22,3606
4,Email,1853.95,2.42,7353
4,Email,1781.78,1.25,2844
4,Instagram,665.99,4.26,9535
4,Instagram,3243.04,2.61,5288
3,Instagram,2762.06,4.39,2241
2,Google Ads,731.65,4.38,6717
2,Email,1753.91,4.01,2579
3,Instagram,4587.2,2.17,6584
2,Instagram,1578.03,2.47,9927
3,Google Ads,1152.03,4.01,7521
4,Instagram,2702.54,2.25,4552
3,Google Ads,4935.43,1.76,5981
4,Facebook,1589.25,3.04,6765
4,Instagram,3524.61,4.29,2949
1,Facebook,3927.29,3.5,7490
3,Google Ads,1569.37,3.08,7005
1,Email,3776.97,1.52,2589
3,Instagram,2155.02,3.23,9923
3,Google Ads,3345.38,4.47,9307
1,Email,3350.88,1.66,9640
1,Email,2910.99,2.91,4711
3,Facebook,906.3,4.1,2939
2,Google Ads,4258.86,3.64,8627
4,Email,1943.51,3.5,5978
1,Instagram,1339.33,3.52,9187
4,Instagram,683.49,2.39,6403
2,Facebook,3159.02,2.17,951
2,Email,3549.04,3.87,1787
2,Google Ads,574.65,3.87,6933
1,Instagram,2804.42,4.06,2527
2,Email,1519.23,4.21,9860
1,Email,3403.28,2.89,4100
2,Facebook,1284.65,2.86,5152
4,Instagram,3609.22,3.83,2838
4,Instagram,2240.31,3.34,5832
3,Google Ads,4715.28,3.52,5487
4,Instagram,1118.84,3.83,8102
3,Google Ads,2034.8,4.14,5636
4,Instagram,1010.63,2.32,4013
1,Facebook,4661.12,2.44,1166
4,Instagram,4448.03,1.51,7823
3,Google Ads,1660.74,3.11,4480
3,Google Ads,3469.93,1.32,4207
2,Facebook,4177.5,2.74,5826
1,Instagram,2998.4,2.99,3473
4,Instagram,2883.43,2.15,9045
2,Facebook,1588.34,3.15,2182
4,Instagram,918.96,1.3,9067
4,Instagram,4537.47,1.32,6848
2,Google Ads,4551.88,3.91,9917
2,Instagram,3348.96,2.39,517
2,Instagram,2025.63,1.62,8406
2,Facebook,2071.44,2.92,8908
2,Facebook,3766.8,3.74,4074
4,Email,4537.0,1.91,3367
2,Google Ads,4491.89,3.26,925
1,Instagram,4009.44,1.48,7768
